Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
150T,Donor150,T,core13,nearest_epithelial_mass,unadjusted,0.18358344828329912,1290,14
150T,Donor150,T,core13,nearest_epithelial_mass,adjusted,0.05456065275843694,1290,14
150T,Donor150,T,noncytokine8,epi_k20,unadjusted,0.11714458155981675,1290,14
150T,Donor150,T,noncytokine8,epi_k20,adjusted,0.008889539895162215,1290,14
150T,Donor150,T,noncytokine8,nearest_epi,unadjusted,0.1277700883291142,1290,14
150T,Donor150,T,noncytokine8,nearest_epi,adjusted,0.046171761516788715,1290,14
150T,Donor150,T,noncytokine8,epithelial_mass_k20,unadjusted,0.0967805237745397,1290,14
150T,Donor150,T,noncytokine8,epithelial_mass_k20,adjusted,0.024168152689972126,1290,14
150T,Donor150,T,noncytokine8,nearest_epithelial_mass,unadjusted,0.18404746375321138,1290,14
150T,Donor150,T,noncytokine8,nearest_epithelial_mass,adjusted,0.06123900921890689,1290,14
150T,Donor150,T,three_gene,epi_k20,unadjusted,0.02915642569513215,1290,14
150T,Donor150,T,three_gene,epi_k20,adjusted,-0.00610098151999274,1290,14
150T,Donor150,T,three_gene,nearest_epi,unadjusted,0.03250618273314452,1290,14
150T,Donor150,T,three_gene,nearest_epi,adjusted,0.009646873229817927,1290,14
150T,Donor150,T,three_gene,epithelial_mass_k20,unadjusted,0.03559126772134256,1290,14
150T,Donor150,T,three_gene,epithelial_mass_k20,adjusted,0.009919349920732562,1290,14
150T,Donor150,T,three_gene,nearest_epithelial_mass,unadjusted,0.09902995932313144,1290,14
150T,Donor150,T,three_gene,nearest_epithelial_mass,adjusted,0.030753952645659232,1290,14
170N,Donor170,N,core13,epi_k20,unadjusted,-0.002939670268854526,1180,7
170N,Donor170,N,core13,epi_k20,adjusted,-0.0339133058539178,1180,7
170N,Donor170,N,core13,nearest_epi,unadjusted,-0.00011431602547226279,1180,7
170N,Donor170,N,core13,nearest_epi,adjusted,-0.036307934252544645,1180,7
170N,Donor170,N,core13,epithelial_mass_k20,unadjusted,0.04972289828584571,1180,7
170N,Donor170,N,core13,epithelial_mass_k20,adjusted,0.026879243946117706,1180,7
170N,Donor170,N,core13,nearest_epithelial_mass,unadjusted,0.07053953503017925,1180,7
170N,Donor170,N,core13,nearest_epithelial_mass,adjusted,0.011100440960458546,1180,7
170N,Donor170,N,noncytokine8,epi_k20,unadjusted,0.01869315135052366,1180,7
170N,Donor170,N,noncytokine8,epi_k20,adjusted,-0.03010657319183893,1180,7
170N,Donor170,N,noncytokine8,nearest_epi,unadjusted,0.025995477827107726,1180,7
170N,Donor170,N,noncytokine8,nearest_epi,adjusted,-0.02985545602094968,1180,7
170N,Donor170,N,noncytokine8,epithelial_mass_k20,unadjusted,0.050266756024989256,1180,7
170N,Donor170,N,noncytokine8,epithelial_mass_k20,adjusted,0.02368960131449901,1180,7
170N,Donor170,N,noncytokine8,nearest_epithelial_mass,unadjusted,0.09178849147389401,1180,7
170N,Donor170,N,noncytokine8,nearest_epithelial_mass,adjusted,0.030738269028336936,1180,7
170N,Donor170,N,three_gene,epi_k20,unadjusted,-0.08235342387183614,1180,7
170N,Donor170,N,three_gene,epi_k20,adjusted,0.027717914829345932,1180,7
170N,Donor170,N,three_gene,nearest_epi,unadjusted,-0.08122550845317839,1180,7
170N,Donor170,N,three_gene,nearest_epi,adjusted,0.05901013853851793,1180,7
170N,Donor170,N,three_gene,epithelial_mass_k20,unadjusted,-0.020668500689362435,1180,7
170N,Donor170,N,three_gene,epithelial_mass_k20,adjusted,-0.006685008138058369,1180,7
170N,Donor170,N,three_gene,nearest_epithelial_mass,unadjusted,0.034517516517839866,1180,7
170N,Donor170,N,three_gene,nearest_epithelial_mass,adjusted,0.036213265442565146,1180,7
170T,Donor170,T,core13,epi_k20,unadjusted,0.09075674985685409,933,21
170T,Donor170,T,core13,epi_k20,adjusted,-0.04830418541055708,933,21
170T,Donor170,T,core13,nearest_epi,unadjusted,0.07178325022553403,933,21
170T,Donor170,T,core13,nearest_epi,adjusted,0.002655511690669687,933,21
170T,Donor170,T,core13,epithelial_mass_k20,unadjusted,0.05271855452214914,933,21
170T,Donor170,T,core13,epithelial_mass_k20,adjusted,-0.023195932041571832,933,21
170T,Donor170,T,core13,nearest_epithelial_mass,unadjusted,0.05684158156131978,933,21
170T,Donor170,T,core13,nearest_epithelial_mass,adjusted,-0.025244636039961726,933,21
170T,Donor170,T,noncytokine8,epi_k20,unadjusted,0.13120118236285755,933,21
170T,Donor170,T,noncytokine8,epi_k20,adjusted,-0.012798516341769454,933,21
170T,Donor170,T,noncytokine8,nearest_epi,unadjusted,0.09810642015050902,933,21
170T,Donor170,T,noncytokine8,nearest_epi,adjusted,0.014896043460115178,933,21
170T,Donor170,T,noncytokine8,epithelial_mass_k20,unadjusted,0.08434326232829918,933,21
